n_users,n_trips,events_per_trip,db,query,time_seconds,memory_mb
1000,50000,5,spark_graph,pagerank,3.8691,299.89
1000,50000,5,spark_graph,connected_components,0.8544,299.89
1000,50000,10,postgres,load,90.1827,414.99
1000,50000,10,postgres,query1,0.8883,415.0
1000,50000,10,postgres,query2,0.0379,415.0
1000,50000,10,postgres,query3,0.8445,415.0
1000,50000,10,postgres,query4,1.0282,415.0
1000,50000,10,mongodb,load,29.8296,420.07
1000,50000,10,mongodb,query1_lookup,13.5384,421.19
1000,50000,10,mongodb,query2,1.0984,420.2
1000,50000,10,mongodb,query3,0.1606,420.2
1000,50000,10,mongodb,query4,0.4544,419.24
1000,50000,10,neo4j,load,15.3797,419.16
1000,50000,10,neo4j,query1,0.0114,419.16
1000,50000,10,neo4j,query2,0.0092,419.16
1000,50000,10,spark_doc,query2,0.29,419.44
1000,50000,10,spark_graph,pagerank,3.7619,419.29
1000,50000,10,spark_graph,connected_components,0.7873,419.29
1000,100000,0,postgres,load,19.2128,326.76
1000,100000,0,postgres,query1,1.8367,326.89
1000,100000,0,postgres,query2,0.1656,320.89
1000,100000,0,postgres,query3,1.9032,320.89
1000,100000,0,postgres,query4,0.0039,320.89
1000,100000,0,mongodb,load,5.1856,316.5
1000,100000,0,mongodb,query1_lookup,21.0113,321.28
1000,100000,0,mongodb,query2,1.8981,321.28
1000,100000,0,mongodb,query3,0.2185,321.28
1000,100000,0,mongodb,query4,0.1126,321.28
1000,100000,0,neo4j,load,28.8854,321.21
1000,100000,0,neo4j,query1,0.0565,321.21
1000,100000,0,neo4j,query2,0.0138,321.21
1000,100000,0,spark_doc,query2,0.3362,318.97
1000,100000,0,spark_graph,pagerank,3.6208,318.58
1000,100000,0,spark_graph,connected_components,0.7977,318.58
1000,100000,2,postgres,load,52.4221,333.0
1000,100000,2,postgres,query1,1.7762,333.28
1000,100000,2,postgres,query2,0.1153,328.28
1000,100000,2,postgres,query3,1.6737,328.28
1000,100000,2,postgres,query4,0.9048,328.28
1000,100000,2,mongodb,load,55.7057,327.94
1000,100000,2,mongodb,query1_lookup,27.6519,332.99
1000,100000,2,mongodb,query2,1.8778,333.0
1000,100000,2,mongodb,query3,0.2843,333.0
1000,100000,2,mongodb,query4,0.6433,332.33
1000,100000,2,neo4j,load,30.2641,332.31
1000,100000,2,neo4j,query1,0.0649,332.31
1000,100000,2,neo4j,query2,0.0119,332.31
1000,100000,2,spark_doc,query2,0.3874,329.83
1000,100000,2,spark_graph,pagerank,4.0673,329.32
1000,100000,2,spark_graph,connected_components,0.7556,329.32
1000,100000,5,postgres,load,98.3793,419.18
1000,100000,5,postgres,query1,1.7864,418.64
1000,100000,5,postgres,query2,0.0937,417.64
1000,100000,5,postgres,query3,1.6857,417.64
1000,100000,5,postgres,query4,1.5199,417.65
1000,100000,5,mongodb,load,57.3396,431.64
1000,100000,5,mongodb,query1_lookup,26.8631,432.7
1000,100000,5,mongodb,query2,2.0837,432.7
1000,100000,5,mongodb,query3,0.3019,432.7
1000,100000,5,mongodb,query4,0.9098,434.22
1000,100000,5,neo4j,load,27.8693,433.14
1000,100000,5,neo4j,query1,0.0129,433.14
1000,100000,5,neo4j,query2,0.01,433.14
1000,100000,5,spark_doc,query2,0.3735,432.93
1000,100000,5,spark_graph,pagerank,3.7739,431.38
1000,100000,5,spark_graph,connected_components,0.7006,431.38
